games_started,player_id,player_first_name,player_last_name,player_alias,game_started,team_id,team_short_name,team_three_letter_code,goal_keeper,playing_time,substitutions_in,substitutions_out,cards_yellow,cards_yellow_red,cards_red,sendings_off,offsides,fouls_against_opponent,fouls_other,fouls_hand_ball,fouls_sum,other_player_actions,goals,goalkeeper_saves,shots_at_goal_held,shots_at_goal_wide,shots_at_goal_crossbar,shots_at_goal_post,shots_at_goal_blocked,shots_at_goal_other,shots_at_goal_failed,shots_at_goal_right_leg,shots_at_goal_left_leg,shots_at_goal_head,shots_at_goal_body,shots_at_goal_no_head,shots_at_goal_sum,shots_conversion_rate,shots_at_goal_inside_box,shots_at_goal_outside_box,assists,second_assists,first_and_second_assists,passes_from_play_successful,passes_from_play_not_successful,passes_from_play_sum,passes_from_play_conversion_rate,passes_from_standards_successful,passes_from_standards_not_successful,passes_from_standards_sum,passes_from_standards_conversion_rate,passes_successful_sum,passes_not_successful_sum,passes_sum,passes_conversion_rate,crosses_from_play_successful,crosses_from_play_not_successful,crosses_from_play_sum,crosses_from_play_conversion_rate,crosses_from_standards_successful,crosses_from_standards_not_successful,crosses_from_standards_sum,crosses_from_standards_conversion_rate,crosses_successful_sum,crosses_not_successful_sum,crosses_sum,crosses_conversion_rate,passes_and_crosses_from_play_successful,passes_and_crosses_from_play_not_successful,passes_and_crosses_from_play_sum,passes_and_crosses_from_standards_successful,passes_and_crosses_from_standards_not_successful,passes_and_crosses_from_standards_sum,passes_and_crosses_successful_sum,passes_and_crosses_not_successful_sum,passes_and_crosses_sum,own_goals,own_goals_prevented,defensive_clearances,abandonments_of_ball,other_ball_actions,throw_ins,penalties_successful,penalties_not_successful,penalties_sum,penalty_conversion_rate,corner_kicks_left,corner_kicks_right,corner_kicks_sum,free_kicks_direct,free_kicks_indirect,free_kicks_sum,kickoffs_after_goal,kickoffs,ball_control_phases,tackling_games_air_won,tackling_games_air_lost,tackling_games_air_sum,game_openings_not_successful,game_openings_sum,interceptions_left,interceptions_right,interceptions_held,interceptions_fisted,interceptions_rebounded,interceptions_cross,interceptions_corner,interceptions_sum,distance_covered,maximum_speed,participations_goal,participations_goal_indirect,participations_goal_direct,assists_shot_at_goal,participations_shot_at_goal,participations_shot_at_goal_indirect,participations_shot_at_goal_direct,goal_opportunities,chances,sitters,participations_goal_opportunities,participations_chance,participations_sitter,nutmegs,shots_on_target,spectacular_plays,fouls_suffered,passes_from_open_play_short,passes_from_open_play_short_successful_ratio,passes_from_open_play_medium,passes_from_open_play_medium_successful_ratio,passes_from_open_play_long,passes_from_open_play_long_successful_ratio,xG,xG_efficiency,penalties_saved,penalties_caused,goals_plus_assists,goals_plus_first_and_second_assists,goals_conceded,shots_faced,competition_id,season,season_id,normalized_player_minutes,matches_played_scouting,matches_played_tracking,matches_played,ball_actions,game_openings_throwout,game_openings_hand,game_openings_successful,clean_sheets,clean_sheets_complete,advanced_stats.goalkeeper,advanced_stats.passes_from_open_play_successful,advanced_stats.x_pass,advanced_stats.passing_performance,advanced_stats.passing_performance_rank,advanced_stats.difficult_passes,advanced_stats.difficult_passes_successful_ratio,advanced_stats.difficult_passes_share,advanced_stats.saves,advanced_stats.x_saves,advanced_stats.keeper_efficiency,advanced_stats.player_pressure_count,advanced_stats.player_pressure_count_rank,advanced_stats.average_pressure,advanced_stats.escape_rate,advanced_stats.escape_rate_rank,advanced_stats.pressure_resistance_ratio,advanced_stats.pressure_resistance_efficiency,advanced_stats.passes_under_pressure_successful_ratio,xg_rankings.season.slug,xg_rankings.season.opta_id,xg_rankings.season.sportec_id,xg_rankings.season.competition_sportec_id,xg_rankings.season.competition_opta_id,xg_rankings.season.competition_id,xg_rankings.season.name,xg_rankings.last5matches.rank,xg_rankings.last5matches.absolute,xg_rankings.last5matches.x_goals,xg_rankings.last5matches.goals
0,MLS-OBJ-000A2P,Nehuén,Benedetti,NA,0,MLS-CLU-00000B,New York,RBNY,FALSE,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,MLS-OBJ-00018P,Jackson,Travis,NA,9,MLS-CLU-00000J,Colorado,COL,FALSE,12:15:10,0,3,2,0,1,0,1,11,0,1,12,1,0,0,1,1,0,0,0,0,2,0,2,0,0,2,2,0,1,1,0,0,0,208,50,258,0.81,4,0,4,1,212,50,262,0.81,0,5,5,0,0,0,0,0,0,5,5,0,208,55,263,4,0,60,212,55,323,0,0,8,0,73,56,0,0,0,0,0,0,0,4,0,4,0,0,406,8,7,15,0,0,0,0,0,0,0,0,0,0,75808.88,32.92,0,0,0,1,4,2,2,2,2,0,4,0,0,1,1,0,8,73,91.78,154,84.42,31,35.48,0.0997,-0.0997,0,0,0,0,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,679,0,9,9,408,0,0,0,0,0,FALSE,191,193.13,-2.13,643,62,0.35,0.26,0,0,0,62,493,0.23,0.55,429,0.08,2.47,0.75,NA,NA,NA,NA,NA,NA,NA,225,-0.07,0.07,0
0,MLS-OBJ-00008U,Edwin,Cerrillo,NA,32,MLS-CLU-00000G,LA Galaxy,LA,FALSE,48:29:03,0,10,12,1,0,0,0,52,0,0,52,0,0,0,3,9,0,0,9,1,22,17,5,0,0,22,22,0,4,18,0,1,1,2003,153,2156,0.93,28,1,29,0.97,2031,154,2185,0.93,1,1,2,0.5,0,0,0,0,1,1,2,0.5,2004,154,2158,28,1,32,2032,155,2190,0,0,14,0,205,3,0,0,0,0,0,0,0,26,1,27,0,1,2431,8,5,13,0,0,0,0,0,0,0,0,0,0,322488.59,33.8,2,2,0,22,48,14,34,14,14,0,36,0,1,1,3,0,19,725,95.59,1319,93.25,112,71.43,0.8423,-0.8423,0,0,0,1,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,2681,0,32,32,2435,0,0,0,0,0,FALSE,1998,1975.01,22.99,81,209,0.55,0.1,0,0,0,289,126,0.14,0.71,64,0.39,57.88,0.88,NA,NA,NA,NA,NA,NA,NA,410,-0.32,0.32,0
0,MLS-OBJ-0005LF,Colin,Guske,NA,0,MLS-CLU-00000O,Orlando,ORL,FALSE,00:48:16,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,1,0,0,0,0,15,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,15,0,15,0,0,0,15,0,15,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,2,0,0,0,0,0,0,0,0,0,0,6120.02,28.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,100,8,100,2,100,0,0,0,0,0,0,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,13,0,5,5,22,0,0,0,0,0,FALSE,15,13.4,1.6,411,3,1,0.2,0,0,0,2,744,0.5,0.5,555,0.3,0.23,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,MLS-OBJ-000035,Nathan,Byrne,NA,17,MLS-CLU-00000I,Charlotte,CLT,FALSE,28:13:12,0,1,3,0,0,0,0,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,625,130,755,0.83,24,2,26,0.92,649,132,781,0.83,4,34,38,0.11,0,0,0,0,4,34,38,0.11,629,164,793,24,2,172,653,166,965,0,0,12,0,123,146,0,0,0,0,0,0,0,26,0,26,0,0,1100,6,9,15,0,0,0,0,0,0,0,0,0,0,158778.15,33.87,0,0,0,6,8,4,4,0,0,0,9,0,1,0,0,1,16,197,89.34,464,88.58,94,40.43,0,0,0,0,0,0,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,1528,0,17,17,1101,0,0,0,0,0,FALSE,625,630.84,-5.84,739,179,0.47,0.24,0,0,0,156,274,0.19,0.59,300,0.15,12,0.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,MLS-OBJ-0000KI,Pablo,Ruiz,NA,14,MLS-CLU-00000R,Salt Lake,RSL,FALSE,22:13:11,7,10,4,0,0,0,1,21,0,1,22,0,0,0,8,8,0,0,2,1,19,1,18,0,0,19,19,0,2,17,1,0,1,614,112,726,0.85,19,11,30,0.63,633,123,756,0.84,1,7,8,0.13,15,19,34,0.44,16,26,42,0.38,615,119,734,34,30,66,649,149,800,0,0,3,0,100,2,0,0,0,0,16,27,43,19,0,19,0,0,922,3,8,11,0,0,0,0,0,0,0,0,0,0,156060.45,33.68,3,3,0,32,62,16,46,18,18,0,47,0,2,1,8,0,6,186,90.86,447,86.8,93,61.29,0.7285,-0.7285,0,0,1,1,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,1209,0,21,21,923,0,0,0,0,0,FALSE,614,605.89,8.11,239,181,0.56,0.25,0,0,0,168,255,0.23,0.68,103,0.34,29.24,0.86,NA,NA,NA,NA,NA,NA,NA,188,-0.05,0.05,0
0,MLS-OBJ-0001JK,Maarten,Paes,NA,22,MLS-CLU-000005,Dallas,DAL,TRUE,37:00:30,0,0,0,0,0,0,0,1,0,0,1,3,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,110,401,0.73,132,72,204,0.65,423,182,605,0.7,0,0,0,0,0,0,0,0,0,0,0,0,291,110,490,133,72,205,423,182,695,0,1,6,0,63,0,0,0,0,0,0,0,0,39,24,63,0,0,764,4,1,5,0,0,20,6,11,12,3,12,14,26,91655.33,26.62,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,30,100,187,95.72,184,44.57,0,0,0,1,0,0,43,120,MLS-COM-000001,2025,MLS-SEA-0001K9,1980,0,22,22,801,90,38,0,3,3,FALSE,384,379.92,4.08,335,179,0.44,0.36,68,67.4,0.6,0,775,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,MLS-OBJ-0005IX,Nicolas,Fleuriau Chateau,NA,0,MLS-CLU-00000C,Vancouver,VAN,FALSE,00:18:18,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,2,1,1,0,0,2,2,0,2,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,2049.36,28.46,0,0,0,0,2,0,2,2,2,0,2,0,0,1,1,0,1,0,0,1,100,0,0,0.3704,-0.3704,0,0,0,0,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,7,0,2,2,8,0,0,0,0,0,FALSE,1,0.69,0.31,499,1,1,1,0,0,0,4,725,0.8,0,759,-1,-1.84,1,NA,NA,NA,NA,NA,NA,NA,438,-0.37,0.37,0
0,MLS-OBJ-00018V,Malcolm,Fry,NA,0,MLS-CLU-00000N,New England,NE,FALSE,00:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,0,0,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,775,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0,MLS-OBJ-0001AR,Stuart,Hawkins,NA,0,MLS-CLU-00000S,Seattle,SEA,FALSE,02:28:58,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,48,8,56,0.86,2,1,3,0.67,50,9,59,0.85,0,0,0,0,0,0,0,0,0,0,0,0,48,8,56,2,1,3,50,9,59,0,0,3,0,11,0,0,0,0,0,0,0,0,3,0,3,0,0,74,1,3,4,0,0,0,0,0,0,0,0,0,0,16817.46,31.32,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,17,94.12,36,88.89,3,0,0.0615,-0.0615,0,0,0,0,0,0,MLS-COM-000001,2025,MLS-SEA-0001K9,124,0,4,4,74,0,0,0,0,0,FALSE,48,49.17,-1.17,605,10,0.3,0.18,0,0,0,2,744,0.08,1,1,0.79,0.88,0.71,NA,NA,NA,NA,NA,NA,NA,210,-0.06,0.06,0
